iter	Passed	Remaining
0	56	28115
1	60	15163
2	64	10766
3	68	8555
4	72	7205
5	76	6317
6	80	5660
7	84	5177
8	87	4789
9	91	4481
10	95	4223
11	98	4010
12	102	3833
13	106	3688
14	110	3556
15	113	3435
16	117	3330
17	120	3237
18	124	3154
19	128	3079
20	131	3010
21	135	2947
22	139	2893
23	143	2837
24	146	2790
25	150	2747
26	154	2700
27	157	2658
28	161	2620
29	165	2587
30	168	2551
31	172	2519
32	175	2488
33	179	2459
34	182	2429
35	186	2403
36	190	2378
37	193	2351
38	196	2325
39	200	2305
40	204	2285
41	207	2266
42	211	2247
43	215	2229
44	219	2215
45	222	2195
46	225	2176
47	229	2160
48	233	2144
49	236	2129
50	240	2114
51	243	2100
52	247	2086
53	250	2071
54	254	2058
55	257	2045
56	261	2030
57	264	2018
58	268	2005
59	272	1995
60	275	1980
61	278	1968
62	281	1955
63	285	1942
64	288	1930
65	292	1920
66	295	1908
67	298	1898
68	302	1888
69	305	1877
70	309	1867
71	312	1857
72	315	1845
73	319	1837
74	322	1827
75	325	1817
76	328	1806
77	332	1799
78	335	1788
79	339	1780
80	342	1770
81	345	1763
82	349	1756
83	353	1748
84	356	1742
85	359	1732
86	363	1724
87	366	1716
88	369	1708
89	373	1700
90	376	1692
91	380	1685
92	383	1680
93	387	1673
94	390	1666
95	394	1659
96	397	1651
97	400	1643
98	404	1638
99	408	1632
100	411	1626
101	415	1620
102	418	1614
103	422	1608
104	425	1601
105	428	1593
106	432	1588
107	435	1580
108	438	1574
109	442	1569
110	446	1563
111	449	1557
112	452	1551
113	455	1543
114	459	1537
115	462	1532
116	466	1527
117	470	1522
118	474	1517
119	477	1512
120	480	1505
121	484	1501
122	488	1495
123	491	1489
124	494	1483
125	498	1478
126	501	1473
127	505	1468
128	508	1462
129	512	1457
130	515	1453
131	519	1447
132	522	1441
133	526	1437
134	529	1431
135	533	1426
136	536	1420
137	540	1416
138	543	1412
139	546	1406
140	550	1401
141	553	1396
142	557	1391
143	560	1386
144	564	1381
145	567	1376
146	571	1371
147	574	1366
148	578	1362
149	581	1357
150	585	1353
151	588	1348
152	592	1343
153	595	1337
154	598	1333
155	602	1329
156	605	1323
157	609	1319
158	613	1315
159	616	1310
160	619	1305
161	623	1300
162	626	1295
163	630	1291
164	634	1287
165	637	1281
166	640	1277
167	644	1274
168	648	1269
169	651	1265
170	655	1261
171	659	1257
172	663	1254
173	667	1251
174	671	1246
175	675	1242
176	678	1238
177	682	1233
178	685	1229
179	689	1225
180	692	1219
181	695	1215
182	699	1211
183	702	1207
184	706	1202
185	709	1198
186	713	1193
187	716	1189
188	720	1185
189	724	1181
190	727	1177
191	731	1173
192	734	1168
193	738	1164
194	741	1159
195	745	1155
196	749	1152
197	752	1148
198	756	1143
199	759	1139
200	762	1134
201	766	1130
202	770	1127
203	773	1122
204	777	1118
205	781	1115
206	784	1110
207	788	1106
208	792	1102
209	796	1099
210	800	1096
211	803	1091
212	806	1087
213	810	1083
214	814	1079
215	817	1075
216	821	1070
217	824	1067
218	828	1062
219	831	1058
220	835	1054
221	838	1050
222	841	1045
223	845	1041
224	849	1037
225	852	1033
226	855	1029
227	859	1025
228	862	1021
229	866	1016
230	869	1012
231	873	1008
232	876	1004
233	880	1000
234	883	996
235	886	992
236	890	988
237	893	984
238	897	979
239	900	975
240	903	971
241	907	967
242	910	963
243	914	959
244	917	954
245	921	951
246	924	947
247	928	943
248	932	939
249	935	935
250	939	931
251	942	927
252	946	924
253	950	920
254	953	916
255	957	912
256	960	908
257	964	904
258	967	900
259	971	897
260	975	893
261	978	888
262	981	884
263	985	880
264	988	876
265	992	872
266	995	868
267	999	864
268	1002	861
269	1006	857
270	1010	853
271	1014	849
272	1017	846
273	1021	842
274	1024	838
275	1027	834
276	1031	830
277	1034	825
278	1037	822
279	1041	818
280	1044	814
281	1048	810
282	1052	807
283	1055	802
284	1059	799
285	1063	795
286	1067	791
287	1070	787
288	1073	784
289	1077	779
290	1080	776
291	1083	771
292	1087	767
293	1090	764
294	1094	760
295	1098	756
296	1101	752
297	1104	748
298	1108	745
299	1111	741
300	1115	737
301	1118	733
302	1122	729
303	1125	725
304	1129	722
305	1132	718
306	1137	714
307	1140	710
308	1143	707
309	1147	703
310	1151	699
311	1155	696
312	1158	692
313	1162	688
314	1166	684
315	1169	681
316	1173	677
317	1176	673
318	1180	669
319	1183	665
320	1187	662
321	1191	658
322	1195	654
323	1199	651
324	1202	647
325	1206	643
326	1209	639
327	1212	636
328	1216	632
329	1220	628
330	1223	624
331	1227	621
332	1231	617
333	1234	613
334	1238	609
335	1241	606
336	1245	602
337	1249	598
338	1252	594
339	1255	591
340	1259	587
341	1262	583
342	1266	579
343	1269	575
344	1272	571
345	1276	568
346	1279	564
347	1283	560
348	1286	556
349	1290	553
350	1293	549
351	1297	545
352	1300	541
353	1304	538
354	1308	534
355	1311	530
356	1315	526
357	1318	523
358	1321	519
359	1325	515
360	1329	511
361	1332	507
362	1335	504
363	1339	500
364	1342	496
365	1346	492
366	1349	489
367	1352	485
368	1356	481
369	1359	477
370	1362	473
371	1366	470
372	1369	466
373	1373	462
374	1376	458
375	1380	455
376	1384	451
377	1387	447
378	1391	444
379	1394	440
380	1398	436
381	1401	433
382	1405	429
383	1409	425
384	1412	421
385	1416	418
386	1420	414
387	1423	411
388	1427	407
389	1431	403
